alpha_AF4,alpha_F8,alpha_F4,alpha_FC6,alpha_FC5,alpha_F3,alpha_F7,alpha_AF3,betal_AF4,betal_F8,betal_F4,betal_FC6,betal_FC5,betal_F3,betal_F7,betal_AF3,betah_AF4,betah_F8,betah_F4,betah_FC6,betah_FC5,betah_F3,betah_F7,betah_AF3,face_label,name,video,self,raw
0.065792,0.050825,0.16817,0.1437,0.0071159,0.048283,0.028224,0.049148,0.036961,0.1195,0.11774,0.23004,0.016759,0.034467,0.012516,0.029657,0.014148,0.03127,0.046027,0.08212,0.032831,0.027663,0.009081,0.019861,1,pang,part1,2,23
0.046954,0.032459,0.13908,0.05888,0.00091692,0.087797,0.023748,0.067282,0.046086,0.085752,0.072589,0.087016,0.025289,0.062922,0.027377,0.051737,0.039819,0.060716,0.05808,0.11493,0.044797,0.045397,0.029218,0.042144,1,pang,part1,2,24
0.15327,0.043018,0.22003,0.10543,0.012013,0.11551,0.12396,0.14113,0.05831,0.12321,0.14702,0.17022,0.018534,0.10164,0.040872,0.07648,0.044464,0.065341,0.10242,0.1328,0.063843,0.056086,0.062105,0.046378,1,pang,part1,2,25
0.060773,0.013682,0.067874,0.029729,0.0050172,0.049195,0.089046,0.054761,0.023184,0.035855,0.074218,0.084518,0.023379,0.019502,0.05497,0.0163,0.021579,0.040432,0.059564,0.063984,0.030589,0.051714,0.024131,0.031559,1,pang,part1,2,26
0.036227,0.035879,0.096268,0.067247,0.0018315,0.026922,0.023904,0.025874,0.041122,0.10056,0.099359,0.19173,0.019706,0.037368,0.027996,0.033003,0.016731,0.0347,0.058716,0.079551,0.026512,0.022079,0.0114,0.019842,1,pang,part1,2,27
0.012629,0.013596,0.018731,0.03616,0.00099986,0.0016455,0.006203,0.0028664,0.010722,0.034062,0.043221,0.074189,0.010835,0.01091,0.0056012,0.0082392,0.0017482,0.0084341,0.023196,0.041274,0.015495,0.0068088,0.00098536,0.002785,1,pang,part1,2,28
0.053891,0.039761,0.11062,0.064869,0.0034804,0.059759,0.032954,0.057461,0.04506,0.13438,0.13136,0.20478,0.023152,0.052158,0.021924,0.044916,0.036186,0.052322,0.060131,0.12541,0.044141,0.044611,0.023594,0.040352,1,pang,part1,2,29
0.024737,0.021795,0.064936,0.031427,0.001101,0.022727,0.016919,0.022478,0.019401,0.041759,0.082502,0.086917,0.011985,0.022187,0.020311,0.020448,0.0101,0.021139,0.041692,0.073348,0.029758,0.015983,0.0090607,0.011722,1,pang,part1,2,30
0.095413,0.047636,0.11936,0.05673,0.0098301,0.11314,0.11094,0.10734,0.069019,0.19037,0.17094,0.1734,0.022137,0.095112,0.045331,0.076398,0.042294,0.060605,0.084522,0.11428,0.06587,0.076399,0.047054,0.05637,1,pang,part1,2,33
0.058041,0.046335,0.096503,0.10184,0.0026661,0.04508,0.034362,0.043067,0.037746,0.10747,0.11397,0.14641,0.026204,0.049485,0.029008,0.038555,0.032472,0.056862,0.077792,0.13265,0.046554,0.059418,0.019895,0.044716,1,pang,part1,2,34
0.075324,0.019589,0.086947,0.053289,0.0067792,0.096888,0.063987,0.094615,0.050977,0.098336,0.20492,0.22215,0.035762,0.077971,0.042184,0.059707,0.036324,0.04866,0.094443,0.16607,0.066576,0.05762,0.061468,0.039336,1,pang,part1,2,36
0.02321,0.021324,0.075894,0.07456,0.0016522,0.01156,0.011975,0.010521,0.018468,0.049055,0.066135,0.14404,0.010984,0.012498,0.013295,0.012635,0.007362,0.015118,0.032617,0.072615,0.016394,0.0092181,0.0067165,0.007076,1,pang,part1,2,37
0.008937,0.0059682,0.03491,0.02469,0.0013126,0,0.004642,0.0048542,0.0059145,0.022871,0.05711,0.089227,0.0094475,0.0072784,0.001323,0.004004,0.0038581,0.0095688,0.029403,0.07403,0.023799,0.0068058,0.0024276,0.0032008,1,pang,part1,2,38
0.04823,0.03462,0.081821,0.021868,0.0017063,0.03591,0.024756,0.041082,0.023261,0.055235,0.060408,0.05762,0.014036,0.025012,0.017881,0.022134,0.01464,0.034308,0.041283,0.077724,0.025793,0.026156,0.012797,0.019194,1,pang,part1,2,39
0.011743,0.006803,0.038307,0.023537,0.0008675,0.0087469,0.0061852,0.0069759,0.0060142,0.017537,0.029056,0.043347,0.010201,0.0087759,0.0048679,0.0054773,0.0070665,0.016844,0.018539,0.055148,0.027359,0.0096385,0.0066784,0.0066913,1,pang,part1,2,40
0.015565,0.012026,0.1445,0.014135,0.004909,0.0072316,0.020131,0.009836,0.0067737,0.016114,0.037705,0.043388,0.009682,0.0067306,0.0049892,0.0052763,0.0057468,0.013923,0.030256,0.047904,0.019955,0.00082461,0.0049027,0.0026723,1,pang,part1,2,41
0.050498,0.018787,0.10365,0.029691,0.0046233,0.082813,0.10468,0.061979,0.076905,0.12134,0.13078,0.11237,0.035039,0.12144,0.089604,0.094235,0.053683,0.057282,0.075724,0.087029,0.070502,0.057404,0.07382,0.051379,1,pang,part1,2,42
0.02348,0.019455,0.070851,0.043734,0.0029752,0.022499,0.023838,0.017841,0.049751,0.12384,0.09306,0.16717,0.014352,0.057437,0.023231,0.047198,0.019591,0.043893,0.078983,0.070501,0.0252,0.025384,0.018369,0.021724,1,pang,part1,2,45
0.080015,0.048196,0.19097,0.10801,0.0039399,0.057059,0.043457,0.066189,0.057091,0.1347,0.18591,0.25681,0.045221,0.068423,0.068869,0.054804,0.053315,0.089482,0.18058,0.16103,0.05386,0.14239,0.034954,0.09802,1,pang,part1,2,46
0.071528,0.0448,0.21031,0.11417,0.005894,0.12215,0.055887,0.095217,0.061267,0.18518,0.18578,0.23226,0.032561,0.05276,0.034043,0.050175,0.029064,0.048777,0.058649,0.070167,0.037681,0.034852,0.02483,0.032742,1,pang,part1,2,48
0.062771,0.029281,0.1402,0.040163,0.0055618,0.078832,0.093231,0.061963,0.066487,0.12028,0.13482,0.16306,0.031676,0.047162,0.071358,0.046731,0.029058,0.032291,0.066304,0.069042,0.068977,0.051745,0.068171,0.030924,1,pang,part1,2,49
0.065936,0.063432,0.15369,0.084734,0.0049997,0.036617,0.040563,0.03545,0.02917,0.10095,0.13718,0.16341,0.022268,0.035329,0.022397,0.026047,0.013814,0.032147,0.059754,0.058472,0.023589,0.015615,0.015406,0.014154,1,pang,part1,2,50
0.047437,0.02893,0.10602,0.039929,0.0035248,0.029963,0.043762,0.035103,0.033185,0.072606,0.070375,0.075992,0.018459,0.039079,0.038223,0.031645,0.021963,0.029036,0.056358,0.052921,0.04041,0.043175,0.019779,0.033046,1,pang,part1,2,51
0.036384,0.022897,0.10675,0.034979,0.0014245,0.029165,0.014591,0.033775,0.026261,0.059783,0.09749,0.072346,0.023647,0.026465,0.02263,0.022772,0.018732,0.038502,0.038361,0.061813,0.021801,0.027931,0.011336,0.020522,1,pang,part1,2,52
0.038334,0.024442,0.095446,0.05819,0.003259,0.040067,0.044961,0.030711,0.032128,0.084173,0.13566,0.14341,0.013862,0.033221,0.041211,0.030155,0.023121,0.03798,0.04427,0.051061,0.02982,0.026407,0.026355,0.021477,1,pang,part1,2,53
0.12166,0.073731,0.22773,0.14367,0.0050702,0.10253,0.07008,0.11004,0.063765,0.11954,0.10788,0.14849,0.037984,0.062639,0.084235,0.053025,0.078208,0.096413,0.099119,0.12026,0.070087,0.11539,0.056327,0.097586,1,pang,part1,2,54
0.14528,0.072154,0.14386,0.09927,0.0063323,0.079978,0.086494,0.099436,0.079419,0.13865,0.1171,0.19828,0.047393,0.069835,0.082602,0.062798,0.040339,0.084746,0.12802,0.15173,0.039409,0.089884,0.023159,0.06459,1,pang,part1,2,55
0.051275,0.02467,0.14533,0.056349,0.0045625,0.045007,0.065858,0.050708,0.021259,0.034472,0.079159,0.092432,0.015709,0.028622,0.031712,0.022654,0.015456,0.036842,0.07338,0.069533,0.020366,0.029793,0.01222,0.021877,1,pang,part1,2,59
0.052613,0.031523,0.1843,0.069426,0.0027178,0.068383,0.032362,0.066494,0.04742,0.11775,0.092237,0.13026,0.02648,0.045385,0.024954,0.041858,0.021374,0.058381,0.065122,0.099771,0.033203,0.044805,0.011161,0.03128,1,pang,part1,2,61
0.10693,0.065138,0.10584,0.086342,0.0053954,0.069103,0.10049,0.082434,0.079681,0.13329,0.1642,0.22188,0.038677,0.065253,0.089441,0.064229,0.057702,0.080646,0.081471,0.11426,0.079209,0.064036,0.064489,0.057801,1,pang,part1,2,68
0.020878,0.0267,0.10171,0.050329,0.0021121,0.0090651,0.022028,0.011889,0.015773,0.071885,0.045052,0.091186,0.0076079,0.015784,0.011746,0.011399,0.0063964,0.015712,0.019138,0.054238,0.023852,0.0097912,0.010023,0.0070948,1,pang,part1,2,70
0.079323,0.048565,0.13351,0.07677,0.0027156,0.034818,0.026483,0.0538,0.051797,0.083951,0.07807,0.12492,0.021987,0.035358,0.031099,0.040841,0.02681,0.03785,0.060087,0.068415,0.032531,0.032873,0.023044,0.030709,1,pang,part1,2,71
0.058578,0.02157,0.048986,0.050291,0.0061923,0.046249,0.058497,0.045423,0.041401,0.087954,0.07408,0.15346,0.030684,0.058227,0.036162,0.044534,0.046391,0.07381,0.074632,0.13814,0.042708,0.074126,0.025319,0.060749,1,pang,part1,2,72
0.034448,0.012094,0.11128,0.055367,0.0052461,0.034658,0.053651,0.034306,0.042343,0.06666,0.10592,0.16244,0.032566,0.062261,0.063944,0.044604,0.025813,0.0455,0.044239,0.10868,0.048834,0.028523,0.038016,0.023218,1,pang,part1,2,73
0.079152,0.041484,0.11859,0.080214,0.0046208,0.042953,0.075001,0.050893,0.050238,0.10309,0.094853,0.13105,0.022461,0.044409,0.046452,0.042651,0.052051,0.06037,0.060292,0.10094,0.083477,0.044505,0.070208,0.045116,1,pang,part1,2,74
0.09058,0.036082,0.14644,0.064262,0.0037789,0.10118,0.038958,0.11109,0.053909,0.11604,0.13675,0.10984,0.029954,0.069447,0.045314,0.059513,0.031845,0.046888,0.07762,0.082187,0.039218,0.054924,0.028607,0.042943,1,pang,part1,2,77
0.11101,0.045542,0.14811,0.035356,0.0058885,0.093655,0.11386,0.10671,0.10749,0.1293,0.14305,0.13136,0.040478,0.078878,0.10577,0.088134,0.083956,0.10846,0.11169,0.12299,0.074247,0.13038,0.055834,0.10905,1,pang,part1,2,78
0.14543,0.062065,0.26163,0.098804,0.0062013,0.15652,0.057368,0.16944,0.086551,0.15411,0.13893,0.12403,0.033917,0.094681,0.088592,0.080509,0.062425,0.079291,0.10137,0.086393,0.056624,0.087933,0.052573,0.07626,1,pang,part1,2,79
0.07401,0.036235,0.19839,0.075791,0.0047647,0.05605,0.062963,0.062723,0.046504,0.074885,0.084226,0.077739,0.01976,0.054707,0.04673,0.048108,0.037082,0.059594,0.0519,0.053184,0.034783,0.048168,0.031978,0.041457,1,pang,part1,2,80
0.03755,0.014588,0.14308,0.03284,0.0037458,0.030577,0.043847,0.040161,0.057956,0.11804,0.18999,0.15702,0.011569,0.083501,0.020675,0.071972,0.042535,0.056471,0.0946,0.088997,0.034988,0.062699,0.034755,0.051331,1,pang,part1,2,81
0.071919,0.034194,0.10782,0.042251,0.0050463,0.04695,0.0644,0.059438,0.050519,0.10509,0.09179,0.1186,0.022118,0.037854,0.048596,0.037187,0.016544,0.032503,0.042731,0.038723,0.019237,0.03362,0.023289,0.022318,1,pang,part1,2,82
0.040518,0.023703,0.10483,0.053633,0.0032324,0.028294,0.053313,0.031623,0.033644,0.06934,0.079354,0.098989,0.014651,0.034792,0.026829,0.034049,0.01046,0.024376,0.041913,0.046118,0.014684,0.025311,0.013992,0.016325,1,pang,part1,2,83
0.068826,0.04966,0.14187,0.065603,0.0035595,0.060053,0.058374,0.064159,0.058274,0.12423,0.12523,0.15987,0.022117,0.059763,0.047095,0.056562,0.024876,0.048055,0.063925,0.062927,0.02288,0.043723,0.025492,0.031359,1,pang,part1,2,84
0.038632,0.046256,0.10708,0.070107,0.0033193,0.042398,0.033193,0.031467,0.037097,0.11535,0.089213,0.13528,0.01561,0.038215,0.041251,0.029296,0.027555,0.038905,0.073449,0.053317,0.025025,0.041597,0.03139,0.033529,1,pang,part1,2,85
0.09487,0.045048,0.16646,0.11259,0.0054914,0.095034,0.099119,0.093237,0.055851,0.11533,0.13456,0.16877,0.044687,0.063656,0.096092,0.049348,0.039418,0.062426,0.10288,0.089419,0.041442,0.064278,0.043699,0.050286,1,pang,part1,2,87
0.1322,0.070799,0.26694,0.094232,0.0045768,0.1145,0.078789,0.13735,0.13724,0.27894,0.19598,0.20496,0.042074,0.1466,0.082994,0.14039,0.085814,0.13171,0.16903,0.14778,0.061958,0.14853,0.049686,0.12133,1,pang,part1,2,89
0.094255,0.059072,0.14705,0.10326,0.0048905,0.052891,0.056299,0.069284,0.073723,0.15847,0.14298,0.23279,0.034723,0.080146,0.061251,0.071354,0.050397,0.066613,0.096205,0.1462,0.055456,0.064703,0.042025,0.059056,1,pang,part1,2,91
0.042806,0.039324,0.079197,0.027191,0.0023872,0.046347,0.030584,0.044285,0.045264,0.10348,0.10769,0.11347,0.014584,0.049603,0.022503,0.047039,0.019626,0.031593,0.048943,0.026477,0.015688,0.046519,0.017673,0.032358,1,pang,part2,3,93
0.034656,0.031496,0.060721,0.032348,0.0032318,0.014731,0.028739,0.020319,0.040583,0.12611,0.10259,0.11005,0.012197,0.025809,0.024187,0.030009,0.014975,0.051881,0.057414,0.051593,0.010034,0.013654,0.010686,0.012714,1,pang,part2,3,94
0.045337,0.0497,0.076969,0.035978,0.002385,0.015982,0.021438,0.023836,0.035815,0.11043,0.079464,0.091969,0.0084011,0.032206,0.017158,0.032143,0.017508,0.033212,0.053035,0.049659,0.014505,0.021479,0.01063,0.020721,1,pang,part2,3,95
0.028574,0.018251,0.06133,0.022619,0.0024417,0.016825,0.022927,0.019647,0.027147,0.071492,0.056461,0.11629,0.012093,0.018306,0.021444,0.017535,0.0086542,0.019982,0.029984,0.051544,0.0069346,0.020195,0.0065149,0.011908,1,pang,part2,3,96
0.056819,0.018666,0.085947,0.036424,0.0058361,0.080433,0.072679,0.07219,0.038204,0.05237,0.079418,0.07172,0.017761,0.045194,0.032348,0.040481,0.020607,0.028502,0.038695,0.046101,0.020672,0.033373,0.025344,0.023158,1,pang,part2,3,97
0.082577,0.055362,0.22207,0.074827,0.006285,0.085172,0.15242,0.066187,0.04601,0.07748,0.092403,0.071587,0.028089,0.049215,0.066498,0.040737,0.11323,0.14611,0.12435,0.15612,0.09552,0.12563,0.085514,0.12136,1,pang,part2,3,98
0.029641,0.018798,0.079634,0.045483,0.0020586,0.014737,0.015404,0.018209,0.020934,0.044269,0.043695,0.065044,0.0050964,0.025198,0.010783,0.020402,0.0089837,0.026943,0.045422,0.034576,0.0042104,0.017181,0.0061608,0.013261,1,pang,part2,3,99
0.015786,0.011535,0.043673,0.011532,0.0022736,0.0039144,0.014001,0.0078547,0.0092209,0.031897,0.035664,0.035019,0.0039573,0.0061063,0.0062805,0.0053061,0.0061593,0.01592,0.018134,0.030985,0.0054205,0.0071168,0.0043661,0.0057137,1,pang,part2,3,100
0.043303,0.021455,0.10019,0.050577,0.0044324,0.038872,0.056557,0.041571,0.033335,0.049619,0.10173,0.10327,0.021247,0.058353,0.050795,0.043504,0.047418,0.062748,0.070631,0.079893,0.052096,0.064101,0.043862,0.053651,1,pang,part2,3,101
