alpha_AF4,alpha_F8,alpha_F4,alpha_FC6,alpha_FC5,alpha_F3,alpha_F7,alpha_AF3,betal_AF4,betal_F8,betal_F4,betal_FC6,betal_FC5,betal_F3,betal_F7,betal_AF3,betah_AF4,betah_F8,betah_F4,betah_FC6,betah_FC5,betah_F3,betah_F7,betah_AF3,face_label,name,video,self
0.099035,0.0646,0.21245,0.11247,0.0087653,0.078553,0.063394,0.088884,0.051646,0.13391,0.14,0.14422,0.024752,0.054366,0.041734,0.050628,0.032605,0.068523,0.088029,0.12522,0.037225,0.050622,0.026803,0.037418,1,pang,part1,2
0.034688,0.015267,0.093231,0.074328,0.0029453,0.025264,0.031434,0.027584,0.030548,0.074098,0.055128,0.10507,0.033338,0.02644,0.031591,0.02427,0.016871,0.033301,0.02978,0.084258,0.034599,0.0091595,0.022159,0.0098863,1,pang,part1,2
0.050025,0.03312,0.11193,0.073525,0.0051904,0.045726,0.041778,0.045584,0.034789,0.10521,0.093457,0.16506,0.01937,0.04453,0.021079,0.035175,0.026878,0.061447,0.088722,0.20286,0.049456,0.063383,0.02017,0.043085,1,pang,part1,2
0.053194,0.031813,0.16469,0.1102,0.0039848,0.049137,0.023581,0.052123,0.031385,0.10416,0.091508,0.1375,0.016763,0.042818,0.016838,0.031377,0.018458,0.031257,0.02134,0.11193,0.043247,0.022952,0.021428,0.017084,1,pang,part1,2
0.068015,0.044583,0.1723,0.10986,0.0049845,0.074955,0.048778,0.069163,0.044742,0.15309,0.12849,0.25582,0.021926,0.046275,0.030002,0.038558,0.018346,0.038493,0.04192,0.07586,0.045561,0.034891,0.017012,0.024121,1,pang,part1,2
0.081957,0.049377,0.1332,0.077117,0.0060587,0.042569,0.085679,0.049792,0.045435,0.07903,0.11971,0.12871,0.030693,0.074826,0.062225,0.052834,0.032777,0.060617,0.14966,0.121,0.028091,0.10407,0.017899,0.069024,1,pang,part1,2
0.063643,0.050113,0.16692,0.097665,0.005876,0.062829,0.067192,0.054135,0.037763,0.11693,0.13988,0.20885,0.02572,0.05637,0.040892,0.040504,0.030196,0.04997,0.057376,0.19848,0.060202,0.049874,0.034847,0.035364,1,pang,part1,2
0.12038,0.063254,0.12393,0.10234,0.0072105,0.13056,0.074881,0.12354,0.080002,0.11729,0.12967,0.22785,0.031984,0.069006,0.047749,0.073156,0.043226,0.065574,0.068356,0.11392,0.056017,0.073005,0.036732,0.056718,1,pang,part1,2
0.18527,0.11445,0.44922,0.3166,0.0078096,0.096089,0.097758,0.13951,0.077259,0.18008,0.20849,0.278,0.040662,0.080231,0.072375,0.073614,0.035208,0.065989,0.094223,0.10762,0.059957,0.064838,0.046296,0.046075,1,pang,part1,2
0.026409,0.025734,0.074985,0.060785,0.0050295,0.035719,0.043156,0.026596,0.022881,0.076601,0.08791,0.13647,0.015629,0.029645,0.019157,0.022538,0.016416,0.034406,0.049455,0.090185,0.023919,0.028981,0.013636,0.021145,1,pang,part1,2
0.09787,0.054327,0.073602,0.07966,0.0055485,0.02834,0.070561,0.051885,0.064334,0.1138,0.10505,0.17619,0.034023,0.066673,0.050244,0.059436,0.059601,0.080733,0.11179,0.19508,0.071854,0.091424,0.038127,0.078144,1,pang,part1,2
0.083185,0.077271,0.14546,0.14497,0.0038866,0.052833,0.04442,0.058557,0.059868,0.14486,0.099938,0.2266,0.036362,0.047911,0.039355,0.050006,0.041267,0.057624,0.069305,0.13951,0.050758,0.066915,0.035695,0.054273,1,pang,part1,2
0.10458,0.043355,0.13397,0.11591,0.0058767,0.073949,0.059336,0.092266,0.051853,0.088111,0.10169,0.1772,0.02277,0.055598,0.033278,0.050743,0.028147,0.057313,0.048332,0.12931,0.047298,0.025973,0.017661,0.026012,1,pang,part1,2
0.065792,0.050825,0.16817,0.1437,0.0071159,0.048283,0.028224,0.049148,0.036961,0.1195,0.11774,0.23004,0.016759,0.034467,0.012516,0.029657,0.014148,0.03127,0.046027,0.08212,0.032831,0.027663,0.009081,0.019861,1,pang,part1,2
0.046954,0.032459,0.13908,0.05888,0.00091692,0.087797,0.023748,0.067282,0.046086,0.085752,0.072589,0.087016,0.025289,0.062922,0.027377,0.051737,0.039819,0.060716,0.05808,0.11493,0.044797,0.045397,0.029218,0.042144,1,pang,part1,2
0.15327,0.043018,0.22003,0.10543,0.012013,0.11551,0.12396,0.14113,0.05831,0.12321,0.14702,0.17022,0.018534,0.10164,0.040872,0.07648,0.044464,0.065341,0.10242,0.1328,0.063843,0.056086,0.062105,0.046378,1,pang,part1,2
0.060773,0.013682,0.067874,0.029729,0.0050172,0.049195,0.089046,0.054761,0.023184,0.035855,0.074218,0.084518,0.023379,0.019502,0.05497,0.0163,0.021579,0.040432,0.059564,0.063984,0.030589,0.051714,0.024131,0.031559,1,pang,part1,2
0.036227,0.035879,0.096268,0.067247,0.0018315,0.026922,0.023904,0.025874,0.041122,0.10056,0.099359,0.19173,0.019706,0.037368,0.027996,0.033003,0.016731,0.0347,0.058716,0.079551,0.026512,0.022079,0.0114,0.019842,1,pang,part1,2
0.012629,0.013596,0.018731,0.03616,0.00099986,0.0016455,0.006203,0.0028664,0.010722,0.034062,0.043221,0.074189,0.010835,0.01091,0.0056012,0.0082392,0.0017482,0.0084341,0.023196,0.041274,0.015495,0.0068088,0.00098536,0.002785,1,pang,part1,2
0.053891,0.039761,0.11062,0.064869,0.0034804,0.059759,0.032954,0.057461,0.04506,0.13438,0.13136,0.20478,0.023152,0.052158,0.021924,0.044916,0.036186,0.052322,0.060131,0.12541,0.044141,0.044611,0.023594,0.040352,1,pang,part1,2
0.024737,0.021795,0.064936,0.031427,0.001101,0.022727,0.016919,0.022478,0.019401,0.041759,0.082502,0.086917,0.011985,0.022187,0.020311,0.020448,0.0101,0.021139,0.041692,0.073348,0.029758,0.015983,0.0090607,0.011722,1,pang,part1,2
0.18782,0.050658,0.25834,0.10618,0.010064,0.20706,0.097742,0.22892,0.15833,0.25803,0.24832,0.28801,0.045684,0.18147,0.069918,0.16787,0.09672,0.1083,0.13381,0.22227,0.098831,0.11447,0.090192,0.10508,1,pang,part1,2
0.21678,0.26122,0.1971,0.14433,0.0051136,0.087119,0.085366,0.11328,0.07946,0.29868,0.26363,0.29765,0.036918,0.11469,0.15791,0.076821,0.080829,0.25593,0.20219,0.16481,0.1123,0.11538,0.14454,0.082159,1,pang,part1,2
0.095413,0.047636,0.11936,0.05673,0.0098301,0.11314,0.11094,0.10734,0.069019,0.19037,0.17094,0.1734,0.022137,0.095112,0.045331,0.076398,0.042294,0.060605,0.084522,0.11428,0.06587,0.076399,0.047054,0.05637,1,pang,part1,2
0.058041,0.046335,0.096503,0.10184,0.0026661,0.04508,0.034362,0.043067,0.037746,0.10747,0.11397,0.14641,0.026204,0.049485,0.029008,0.038555,0.032472,0.056862,0.077792,0.13265,0.046554,0.059418,0.019895,0.044716,1,pang,part1,2
0.10548,0.061243,0.26115,0.15109,0.0071681,0.074961,0.06306,0.088217,0.033868,0.092825,0.10739,0.14213,0.028955,0.037046,0.046193,0.026813,0.042011,0.054497,0.05136,0.17877,0.061925,0.046187,0.030677,0.044245,1,pang,part1,2
0.075324,0.019589,0.086947,0.053289,0.0067792,0.096888,0.063987,0.094615,0.050977,0.098336,0.20492,0.22215,0.035762,0.077971,0.042184,0.059707,0.036324,0.04866,0.094443,0.16607,0.066576,0.05762,0.061468,0.039336,1,pang,part1,2
0.02321,0.021324,0.075894,0.07456,0.0016522,0.01156,0.011975,0.010521,0.018468,0.049055,0.066135,0.14404,0.010984,0.012498,0.013295,0.012635,0.007362,0.015118,0.032617,0.072615,0.016394,0.0092181,0.0067165,0.007076,1,pang,part1,2
0.008937,0.0059682,0.03491,0.02469,0.0013126,0,0.004642,0.0048542,0.0059145,0.022871,0.05711,0.089227,0.0094475,0.0072784,0.001323,0.004004,0.0038581,0.0095688,0.029403,0.07403,0.023799,0.0068058,0.0024276,0.0032008,1,pang,part1,2
0.04823,0.03462,0.081821,0.021868,0.0017063,0.03591,0.024756,0.041082,0.023261,0.055235,0.060408,0.05762,0.014036,0.025012,0.017881,0.022134,0.01464,0.034308,0.041283,0.077724,0.025793,0.026156,0.012797,0.019194,1,pang,part1,2
0.011743,0.006803,0.038307,0.023537,0.0008675,0.0087469,0.0061852,0.0069759,0.0060142,0.017537,0.029056,0.043347,0.010201,0.0087759,0.0048679,0.0054773,0.0070665,0.016844,0.018539,0.055148,0.027359,0.0096385,0.0066784,0.0066913,1,pang,part1,2
0.015565,0.012026,0.1445,0.014135,0.004909,0.0072316,0.020131,0.009836,0.0067737,0.016114,0.037705,0.043388,0.009682,0.0067306,0.0049892,0.0052763,0.0057468,0.013923,0.030256,0.047904,0.019955,0.00082461,0.0049027,0.0026723,1,pang,part1,2
0.050498,0.018787,0.10365,0.029691,0.0046233,0.082813,0.10468,0.061979,0.076905,0.12134,0.13078,0.11237,0.035039,0.12144,0.089604,0.094235,0.053683,0.057282,0.075724,0.087029,0.070502,0.057404,0.07382,0.051379,1,pang,part1,2
